source_db_name, p_code, P 번호, factory, item, dtime_ymdhms, value
PJ, 123456, p01, P7, 전력, 2026-06-01 12:30:00, 2120
PJ, 123456, p02, P8, 전력, 2026-06-01 12:30:00, 9510
PJ, 123456, p03, P9, 전력, 2026-06-01 12:30:00, 23121
PJ, 123456, p01, P7, 전력, 2026-06-01 12:31:00, 2150
PJ, 123456, p02, P8, 전력, 2026-06-01 12:31:00, 9528
PJ, 123456, p03, P9, 전력, 2026-06-01 12:31:00, 23101
PJ, 123456, p01, P7, 전력, 2026-06-01 12:32:00, 2167
PJ, 123456, p02, P8, 전력, 2026-06-01 12:32:00, 9547
PJ, 123456, p03, P9, 전력, 2026-06-01 12:32:00, 23170
PJ, 123456, p01, P7, 전력, 2026-06-01 12:33:00, 2174
PJ, 123456, p02, P8, 전력, 2026-06-01 12:33:00, 9601
PJ, 123456, p03, P9, 전력, 2026-06-01 12:33:00, 23287
