source_db_name, p_code, P 번호, factory, item, dtime_ymdhms, value
PJ, 123456, p01, P7, 전력, 2026-06-01 00:00:00, 2127
PJ, 123456, p02, P8, 전력, 2026-06-01 00:00:00, 9574
PJ, 123456, p03, P9, 전력, 2026-06-01 00:00:00, 23013
PJ, 123456, p01, P7, 전력, 2026-06-01 00:01:00, 2136
PJ, 123456, p02, P8, 전력, 2026-06-01 00:01:00, 9584
PJ, 123456, p03, P9, 전력, 2026-06-01 00:01:00, 22851
PJ, 123456, p01, P7, 전력, 2026-06-01 00:02:00, 2139
PJ, 123456, p02, P8, 전력, 2026-06-01 00:02:00, 9675
PJ, 123456, p03, P9, 전력, 2026-06-01 00:02:00, 22894
PJ, 123456, p01, P7, 전력, 2026-06-01 00:03:00, 2155
PJ, 123456, p02, P8, 전력, 2026-06-01 00:03:00, 9580
PJ, 123456, p03, P9, 전력, 2026-06-01 00:03:00, 22722
PJ, 123456, p01, P7, 전력, 2026-06-01 00:04:00, 2176
PJ, 123456, p02, P8, 전력, 2026-06-01 00:04:00, 9468
PJ, 123456, p03, P9, 전력, 2026-06-01 00:04:00, 22597
PJ, 123456, p01, P7, 전력, 2026-06-01 00:05:00, 2172
PJ, 123456, p02, P8, 전력, 2026-06-01 00:05:00, 9507
PJ, 123456, p03, P9, 전력, 2026-06-01 00:05:00, 22272
PJ, 123456, p01, P7, 전력, 2026-06-01 00:06:00, 2150
PJ, 123456, p02, P8, 전력, 2026-06-01 00:06:00, 9563
PJ, 123456, p03, P9, 전력, 2026-06-01 00:06:00, 22543
PJ, 123456, p01, P7, 전력, 2026-06-01 00:07:00, 2181
PJ, 123456, p02, P8, 전력, 2026-06-01 00:07:00, 9454
PJ, 123456, p03, P9, 전력, 2026-06-01 00:07:00, 22865
PJ, 123456, p01, P7, 전력, 2026-06-01 00:08:00, 2184
PJ, 123456, p02, P8, 전력, 2026-06-01 00:08:00, 9400
PJ, 123456, p03, P9, 전력, 2026-06-01 00:08:00, 23067
PJ, 123456, p01, P7, 전력, 2026-06-01 00:09:00, 2184
PJ, 123456, p02, P8, 전력, 2026-06-01 00:09:00, 9424
PJ, 123456, p03, P9, 전력, 2026-06-01 00:09:00, 23124
PJ, 123456, p01, P7, 전력, 2026-06-01 00:10:00, 2203
PJ, 123456, p02, P8, 전력, 2026-06-01 00:10:00, 9521
PJ, 123456, p03, P9, 전력, 2026-06-01 00:10:00, 23263
PJ, 123456, p01, P7, 전력, 2026-06-01 00:11:00, 2180
PJ, 123456, p02, P8, 전력, 2026-06-01 00:11:00, 9585
PJ, 123456, p03, P9, 전력, 2026-06-01 00:11:00, 23305
