source_db_name,dtime_ymdhms,field,factory,temp,supply,zone,no,A_FAN가동상태,A_냉동기가동상태,A_냉동기전력,A_동파방지히터,A_디퓨져개도율,A_배인개도율,A_압축기토출온도,A_응축기냉매압력,A_응축기냉매온도,A_증발기냉매압력,A_증발기냉매온도,A_팽창밸브개도율,B_FAN가동상태,B_냉동기가동상태,B_냉동기전력,B_동파방지히터,B_디퓨져개도율,B_배인개도율,B_압축기토출온도,B_응축기냉매압력,B_응축기냉매온도,B_증발기냉매압력,B_증발기냉매온도,B_팽창밸브개도율,C_FAN가동상태,C_동파방지히터,D_FAN가동상태,D_동파방지히터,E_FAN가동상태,F_FAN가동상태,G_FAN가동상태,H_FAN가동상태,I_FAN가동상태,J_FAN가동상태,K_FAN가동상태,공통_냉각수공급온도,공통_냉각수유량,공통_냉각수펌프상태,공통_냉각수펌프전력,공통_냉각수환수온도,공통_냉동톤,공통_냉수공급온도,공통_냉수유량,공통_냉수펌프상태,공통_냉수펌프전력,공통_냉수환수온도,공통_응축기냉매압력,공통_증발기냉매압력
GG,2026-06-09 11:01,열원,P1,13℃,저층부,공통,#2,0,0,0,0,0,-2,37.7,5.08,21.52,5.1099997,21.68,0,0,0,0,0,0,0,39.45,4.99,21.039999,5,21.09,0,0,0,0,0,0,0,0,0,0,0,0,24.949999,51.8,0,0,25,0,20.35,0,0,0,20.85,0,0
GG,2026-06-09 11:01,열원,P1,13℃,저층부,공통,#3,0,0,0,0,0,0,43.399998,6.15,26.9,6.15,26.9,0,0,0,0,0,0,1,43.6,6.08,26.599998,6.1,26.599998,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,27.4,0,0,0,27.099998,0,0
GG,2026-06-09 11:01,열원,P1,13℃,저층부,공통,#1,1,1,755,0,0,70,44.3,8.11,35.3,3.4099998,11.5,0,2,1,769,0,0,74,33.2,7.3199997,32.1,3.23,10.2,0,1,0,1,0,1,1,1,1,0,0,0,27.8,1810.2,0,191,33.5,3332.718,12.099999,1508.225,1,327,18.8,0,0
GG,2026-06-09 11:01,열원,P1,5℃,저층부,공통,#2,1,0,0,0,0,0,40.55,4.98,20.98,4.92,20.66,0,1,0,0,0,0,1,39.3,4.94,20.77,4.98,20.98,0,0,0,1,0,0,1,1,1,0,0,0,24.75,0,0,0,25.5,0,24.699999,0,0,0,20.949999,0,0
GG,2026-06-09 11:01,열원,P1,5℃,저층부,공통,#3,1,1,698,0,0,21,37.6,6.0499997,26.4,2.4099998,4,0,1,1,920,0,0,51,42.1,6.67,29.3,2.77,6.7999997,0,1,0,1,0,1,1,1,1,0,0,0,23.6,2.1,0,272,27.4,2597.2056,6.7,913.9,1,187,15.299999,0,0
GG,2026-06-09 11:01,열원,P1,5℃,저층부,공통,#1,1,1,734,0,0,33,43.7,7.16,31.4,2.56,5.2,0,0,1,1025,0,0,41,43.7,7.81,34.1,2.8,7.1,0,1,0,1,0,1,1,1,1,0,0,0,28.699999,2060.1,0,285,32.3,2367.1262,7.2,908.05,1,188,15.099999,0,0
GS,2026-06-09 11:01,열원,A2,5℃,공통,공통,#1,0,0,0,0,0,0,0,4.87,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,26.1,0,18.7,9.25,0,0,18.1,0,0
GS,2026-06-09 11:01,열원,A2,5℃,공통,공통,#3,0,0,0,0,0,0,0,0.38352695,0,1.8575077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.697948,3.575,0,0,28.797634,0,29.028097,2.25,0,0,28.96103,0,0
GS,2026-06-09 11:01,열원,A2,5℃,공통,공통,#2,0,0,0,0,0,1,0,-0.2645728,0,21.537313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.562069,0,0,0,23.020527,0,19.599224,1.25,0,0,18.328442,0,0
GS,2026-06-09 11:01,열원,A2,13℃,공통,공통,#1,0,0,0,0,0,0,0,0.4723059,0,0.0928772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.983776,0,0,0,28.640356,0,21.940334,6.5,0,0,21.074137,0,0
GS,2026-06-09 11:01,열원,A2,13℃,공통,공통,#3,0,0,0,0,0,0,0,-0.17037296,0,3.8078926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.054195,3.025,0,0,29.681486,0,29.126678,3.75,0,0,29.151419,0,0
GS,2026-06-09 11:01,열원,A2,13℃,공통,공통,#2,0,0,0,0,0,0,0,0.5053053,0,4.7828317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.305614,499.125,0,0,27.980938,0,22.103565,0,0,0,21.209059,0,0
GS,2026-06-09 11:01,열원,A1,5℃,공통,공통,#1,1,1,1003,0,0,48,39.649998,6.5499997,28.769999,2.26,2.69,0,1,1,0,0,0,28,39.8,6.3599997,27.89,2.24,2.53,0,1,0,1,0,0,0,0,0,0,0,0,24.05,1563.125,1,180,28.3,0,4.85,668.75,1,119,13.15,0,0
GS,2026-06-09 11:01,열원,A1,5℃,공통,공통,#3,1,0,0,0,0,0,41.149998,5.14,21.84,5.16,21.939999,0,1,0,0,0,0,0,40.35,5.0899997,21.57,5.0699997,21.46,0,1,0,0,0,0,0,0,0,0,0,0,27.099998,20.625,0,0,28.849998,0,21.35,11.75,0,0,21.3,0,0
GS,2026-06-09 11:01,열원,A1,5℃,공통,공통,#2,1,1,586,0,0,64,39.7,6.56,28.8,2.57,5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23.5,911.25,1,70,26.8,0,5.5,355.375,1,69,13.8,0,0
GG,2026-06-09 11:01,열원,P2,13℃,고층부,공통,#2,1,1,784,0,0,62,39.55,8.139999,35.489998,3.51,12.15,25,1,1,791,0,0,95,39.25,7.25,31.849998,2.82,7.22,35,1,0,1,0,0,0,0,0,0,0,0,24.05,1795.5,1,212,30.8,2609.2048,14.75,1696.825,1,308,19.3,0,0
